mxy,mt,Deff,R2,AIC,sigma
4,10,0.37571341837353506,0.35969512182727703,-6414.710273662693,0.004788549227904796
4,11,0.3627635566876752,0.36006870273824254,-6345.402725588567,0.004442324403778871
4,12,0.35151767140687273,0.36606469671215836,-6240.250531380193,0.004100051104967349
4,13,0.34129121945013036,0.37473949168794884,-6222.984089298765,0.0037413368000713083
4,14,0.33270875337696576,0.38690617842523745,-6150.029763197942,0.0033948720487862525
4,15,0.3254026688900952,0.3963408384929378,-6142.00245467857,0.003108627067010509
4,16,0.3196774392477873,0.4036133445628023,-6046.21456269004,0.002905179438349145
4,17,0.31455851557511383,0.4063841670810808,-6016.02401105854,0.002760568893645158
4,18,0.31005532169806943,0.4064200472707823,-5978.7019118336975,0.0026663574290023994
4,19,0.30592556383965847,0.40467376776589503,-5938.81416370183,0.002605711951772536
4,20,0.30217625095557377,0.4037855777658733,-5820.136969165883,0.0025703114254249215
5,2,5.3009438178262196e-08,0.433985399456121,-42729.193561325104,1.3035200061674628e-09
5,3,1.1019966844940987,0.47522275732585517,-10556.012634179366,0.020752790677268713
5,4,6.459688918750373,0.5906281019039352,-7271.847107128575,0.0850504267894467
5,5,7.531374842930018,0.642713777136501,-6785.059925793704,0.06270344817279223
5,6,7.5770397472174515,0.6271004041124671,-6419.917982247429,0.0638637823927945
5,7,7.341711500753644,0.6022946924937156,-6157.697600356417,0.06359057880126437
5,8,7.058665578470763,0.5777186386671094,-5919.034691143962,0.05507101857960829
5,9,6.900444289582694,0.5560658392600926,-5726.251735891581,0.052094486661558186
5,10,6.839656161989253,0.5419837770161384,-5547.954007808464,0.05304632187004372
5,11,6.805523084070252,0.5327491503169096,-5458.101965669512,0.05420872053028962
5,12,6.7833607039941635,0.5329415081513125,-5343.481451599244,0.05341874873243877
5,13,6.7606495607198855,0.5369185235491323,-5320.321884391941,0.05077056081296599
5,14,6.770656504310715,0.5488863677114928,-5252.771705639819,0.04611254119861631
5,15,6.815952138291793,0.5600727617357438,-5253.222551452398,0.04183062055962122
5,16,6.913438444451842,0.5728444908799573,-5173.52580412525,0.03828844537827434
